TCP,document_id,estc_id,tcp_author,ecco_author,tcp_title,ecco_title,tcp_year,ecco_year,tcp_pages,ecco_pages,tcp_volume_number,tcp_total_volumes,ecco_volume_number,ecco_total_volumes,author_score,title_score,year_score,pages_score,match_score,volume_match_found,correct
K008390.000,1255000400,T155709,"More, Hannah, 1745-1833.","More, Sarah",'It Is all for the best,"Cheap Repository Sorrowful Sam; or, the two blacksmiths.",1799,1800,16,16,1,1,1,1,76.19,42.667,98,100,65.567,TRUE,N
K108266.000,155802400,T137098,"Sharp, Granville, 1735-1813.",Granville Sharp,Extract of a letter to a gentleman in Maryland: wherein is demonstrated the extreme wickedness of tolerating the slave trade.,Extract of a letter to a gentleman in Maryland; wherein is demonstrated the extreme wickedness of tolerating the slave trade.,1793,1793,13,13,1,1,1,1,60,54.438,100,100,65.497,TRUE,Y
K107298.000,313900300,T135617,"Kenrick, W. (William), 1725?-1779.",William Kenrick,"A reply to The grand question debated: fully proving, that the soul of man is, and must be immortal. ... By Ontologos.","A reply to The grand question debated; fully proving, that the soul of man is, and must be immortal. Wherein The Folly and Infidelity of Deism are exposed, and the Belief of the Christian System proved, rationally, necessary. By Ontologos.",1751,1751,82,82,1,1,1,1,58.333,55.639,100,100,65.454,TRUE,Y
K035642.000,601001800,T032640,"Garrick, David, 1717-1779.",David Garrick,"The enchanter: or, love and magic. A musical drama. As it is performed at the Theater Royal in Drury Lane. The music composed by Mr. Smith.","The enchanter; or, love and magic. A musical drama. As it is performed at the Theatre-Royal in Drury-Lane. The music composed by Mr. Smith.",1760,1760,22,22,1,1,1,1,53.846,59.091,100,100,65.437,TRUE,Y
K040440.000,342301000,T040695,"Rennie, George, 1749-1828.; Brown, Robert, 1757-1831.; Shirreff, John, 1759-1818.",John Shirreff,"General view of the agriculture of the West Riding of Yorkshire: with observations on the means of its improvement. By Messrs. Rennie, Broun, and Shirreff. Drawn up for the consideration of the Board of Agriculture and Internal Improvement.","General view of the agriculture of the West Riding of Yorkshire, with observations on the means of its improvement. By Messrs. Rennie, Broun, and Shirreff. Drawn up for the consideration of the Board of Agriculture and Internal Improvement.",1794,1794,138,138,1,1,1,1,37.736,71.591,100,100,65.423,TRUE,Y
K131924.000,1087800800,T224811,"Carey, Henry, 1687?-1743.",Henry Carey,Sally of our alley; Sally in our alley,Sally of our alley.,1795,1795,2,2,1,1,1,1,45.455,65.455,100,100,65.364,TRUE,Y
K046542.000,87206600,T050796,"Carey, Henry, 1687?-1743.",Henry Carey,Village courtship; Roger's courtship,Village courtship.,1785,1785,1,1,1,1,1,1,45.455,65.385,100,100,65.332,TRUE,Y
K007219.000,1240702400,N011953,"Hoare, Prince, 1755-1834.",Prince Hoare,"The prize: or, 2, 5, 3, 8, a musical farce in two acts, as performed by His Majesty's company. Written by Prince Hoare, Esquire. The music by Storace. Correctly taken from the manager's book.","The prize, or, 2, 5, 3, 8. A musical farce, in two acts. Written by Prince Hare [sic], Esq. The music by Storace.",1793,1793,43,42,1,1,1,1,50,62.069,100,97.674,65.315,TRUE,Y
K102171.000,76500400,T128379,"Stern, Laurence, 1713-1768.",Laurence Sterne,"Explanatory remarks upon The life and opinions of Tristram Shandy: wherein, the morals and politics of this piece are clearly laid open, by Jeremiah Kunastrokius, M.D.","Explanatory remarks upon The life and opinions of Tristram Shandy; wherein, the morals and politics of this piece are clearly laid open, by Jeremiah Kunastrokius, M.D.",1760,1760,58,58,1,1,1,1,55.172,57.778,100,100,65.31,TRUE,Y
K064572.000,1207700400,T077546,"Woolston, Thomas, 1670-1733.",Thomas Woolston,"A fourth discourse on the miracles of our Savior: in view of the present controversy between infidels and apostates. By Thomas Woolston, ...","A fourth discourse on the miracles of our Saviour, in view of the present controversy between infidels and apostates. By Thomas Woolston, sometime Fellow of Sidney-College in Cambridge.",1728,1728,79,79,1,1,1,1,53.333,58.896,100,100,65.17,TRUE,Y
K014182.000,301401000,N024802,"Gray, Thomas, 1716-1771.",Thomas Gray,"A supplement to the tour through Great Britain: containing a catalogue of the antiquities, houses, parks, plantations, ... by the late Mr. Gray, ... To which are now added, by another hand, several additions; ...; Catalogue of the antiquities","A supplement to the tour through Great-Britain, containing a catalogue of the antiquities, houses, parks, plantations, ... by the late Mr. Gray, ... To which are now added, by another hand, several additions; ...",1787,1787,126,126,1,1,1,1,54.545,57.862,100,100,65.129,TRUE,Y
K036183.000,587200200,T033505,"More, Hannah, 1745-1833.",Hannah More,Essays on various subjects: principally designed for young ladies.,"Essays on various subjects, principally designed for young ladies.",1777,1777,220,220,1,1,1,1,54.545,57.778,100,100,65.091,TRUE,Y
